time="2023-06-26T18:53:18+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 32"
time="2023-06-26T18:53:18+03:00" level=info msg="Start main application" func="main.main()" file="TimeTracker.go; 15"
time="2023-06-26T18:53:18+03:00" level=info msg="End without problem8080" func="main.main()" file="TimeTracker.go; 18"
time="2023-06-26T23:49:00+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 37"
time="2023-06-26T23:49:00+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-26T23:49:00+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-26T23:50:13+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 37"
time="2023-06-26T23:50:13+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-26T23:50:13+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-26T23:51:43+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-26T23:51:43+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-26T23:51:43+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-26T23:57:09+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-26T23:57:09+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-26T23:57:17+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-26T23:58:38+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-26T23:58:38+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-26T23:58:41+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-26T23:59:46+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-26T23:59:46+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-26T23:59:57+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-27T00:00:39+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-27T00:00:39+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-27T00:00:42+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-27T00:01:35+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-27T00:01:35+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-27T00:01:40+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-27T00:01:54+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-27T00:01:54+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-27T00:01:56+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-27T00:03:47+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-27T00:03:47+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-27T00:03:49+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-27T00:04:27+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
